delivery_partner|payout_period|payout_on|total_orders|total_payout|store_name|location|year|file_name
swiggy|21 November - 30 November|03 December 2021|73|19762.93|Sprinkles & sparkles|Ravet|2021|Annexure_250980_05122021_1638651323064.xlsx
swiggy|01 December - 04 December|08 December 2021|44|9947.16|Sprinkles & sparkles|Ravet|2021|Annexure_250980_11122021_1639171665958.xlsx
swiggy|05 December - 11 December|15 December 2021|71|18717.55|Sprinkles & sparkles|Ravet|2021|Annexure_250980_16122021_1639665378621.xlsx
swiggy|12 December - 18 December|21 December 2021|57|15318.65|Sprinkles & sparkles|Ravet|2021|Annexure_250980_23122021_1640270385628.xlsx
swiggy|14 November - 20 November|23 November 2021|61|16371.7|Sprinkles & sparkles|Ravet|2021|Annexure_250980_25112021_1637856047936.xlsx
swiggy|19 December - 25 December|29 December 2021|67|15399.13|Sprinkles & sparkles|Ravet|2021|Annexure_250980_31122021_1640931911823.xlsx
swiggy|21 November - 30 November|03 December 2021|23|3754.58|Sprinkles & sparkles|Thergaon|2021|Annexure_326324_05122021_1638646424639.xlsx
swiggy|14 November - 20 November|23 November 2021|18|3086.53|Sprinkles & sparkles|Thergaon|2021|Annexure_326324_25112021_1637853662134.xlsx
swiggy|19 December - 25 December|29 December 2021|32|2515.39|Sprinkles & sparkles|Thergaon|2021|Annexure_326324_31122021_1640935112287.xlsx
swiggy|21 November - 30 November|03 December 2021|30|5888.67|CREATIVE DESIGNER  CAKES|Ravet|2021|Annexure_331485_05122021_1638647117058.xlsx
swiggy|01 December - 04 December|08 December 2021|9|2392.66|CREATIVE DESIGNER  CAKES|Ravet|2021|Annexure_331485_11122021_1639170100145.xlsx
swiggy|05 December - 11 December|15 December 2021|17|3144.05|CREATIVE DESIGNER  CAKES|Ravet|2021|Annexure_331485_16122021_1639664803918.xlsx
swiggy|12 December - 18 December|21 December 2021|29|5010.83|CREATIVE DESIGNER  CAKES|Ravet|2021|Annexure_331485_23122021_1640264701139.xlsx
swiggy|14 November - 20 November|23 November 2021|26|5885.17|CREATIVE DESIGNER  CAKES|Ravet|2021|Annexure_331485_25112021_1637853964144.xlsx
swiggy|19 December - 25 December|29 December 2021|36|4239.15|CREATIVE DESIGNER  CAKES|Ravet|2021|Annexure_331485_31122021_1640926605681.xlsx
swiggy|21 November - 30 November|02 December 2021|2|599.38|CREAMERS|Ravet|2021|Annexure_333265_04122021_1638636351568.xlsx
swiggy|01 December - 04 December|08 December 2021|3|863.72|CREAMERS|Ravet|2021|Annexure_333265_11122021_1639163658663.xlsx
swiggy|05 December - 11 December|15 December 2021|5|1802.36|CREAMERS|Ravet|2021|Annexure_333265_16122021_1639659923609.xlsx
swiggy|12 December - 18 December|21 December 2021|4|923.79|CREAMERS|Ravet|2021|Annexure_333265_23122021_1640261103944.xlsx
swiggy|14 November - 20 November|23 November 2021|3|311.63|CREAMERS|Ravet|2021|Annexure_333265_25112021_1637854064155.xlsx
swiggy|19 December - 25 December|28 December 2021|3|690.51|CREAMERS|Ravet|2021|Annexure_333265_31122021_1640917823668.xlsx
swiggy|23 January - 31 January|03 February 2022|82|22514.62|Sprinkles & sparkles|Ravet|2022|Annexure_250980_05022022_1644052972403.xlsx
swiggy|26 December - 31 December|05 January 2022|102|24843.09|Sprinkles & sparkles|Ravet|2022|Annexure_250980_06012022_1641486704030.xlsx
swiggy|02 January - 08 January|12 January 2022|93|23075.46|Sprinkles & sparkles|Ravet|2022|Annexure_250980_13012022_1642074760703.xlsx
swiggy|01 January - 01 January|13 January 2022|26|6674.77|Sprinkles & sparkles|Ravet|2022|Annexure_250980_14012022_1642160130686.xlsx
swiggy|09 January - 15 January|19 January 2022|65|15070.12|Sprinkles & sparkles|Ravet|2022|Annexure_250980_21012022_1642727603768.xlsx
swiggy|16 January - 22 January|25 January 2022|58|13120.17|Sprinkles & sparkles|Ravet|2022|Annexure_250980_28012022_1643348365990.xlsx
swiggy|23 January - 31 January|03 February 2022|12|3879.09|Sprinkles & sparkles|Thergaon|2022|Annexure_326324_05022022_1644055131462.xlsx
swiggy|26 December - 31 December|05 January 2022|40|5465.41|Sprinkles & sparkles|Thergaon|2022|Annexure_326324_06012022_1641491760676.xlsx
