delivery_partner|payout_period|payout_on|total_orders|total_payout|store_name|location|year|file_name
zomato|05 Dec 2022 - 11 Dec 2022|2022-12-14|60|17996.350000000006|Sprinkles And Sparkles|S NO 75/1/1,,NEAR OCHANI WEAR HOUSE,TATHAWADE,PUNE,Pune,Maharashtra-411027, Pune, Maharashtra|2022|Zomato_Settlement_Report_19333459_05 Dec 2022_11 Dec 2022.xlsx
zomato|12 Dec 2022 - 18 Dec 2022|2022-12-21|66|18470.490000000005|Sprinkles And Sparkles|S NO 75/1/1,,NEAR OCHANI WEAR HOUSE,TATHAWADE,PUNE,Pune,Maharashtra-411027, Pune, Maharashtra|2022|Zomato_Settlement_Report_19333459_12 Dec 2022_18 Dec 2022.xlsx
zomato|19 Dec 2022 - 25 Dec 2022|2022-12-28|69|18652.75|Sprinkles And Sparkles|S NO 75/1/1,,NEAR OCHANI WEAR HOUSE,TATHAWADE,PUNE,Pune,Maharashtra-411027, Pune, Maharashtra|2022|Zomato_Settlement_Report_19333459_19 Dec 2022_25 Dec 2022.xlsx
zomato|26 Dec 2022 - 31 Dec 2022|2023-01-03|83|23197.049999999996|Sprinkles And Sparkles|S NO 75/1/1,,NEAR OCHANI WEAR HOUSE,TATHAWADE,PUNE,Pune,Maharashtra-411027, Pune, Maharashtra|2022|Zomato_Settlement_Report_19333459_26 Dec 2022_31 Dec 2022.xlsx
zomato|05 Dec 2022 - 11 Dec 2022|2022-12-14|38|7377.570000000006|Sprinkles And Sparkles|S NO 75/1/1,,NEAR OCHANI WEAR HOUSE,TATHAWADE,PUNE,Pune,Maharashtra-411027, Pune, Maharashtra|2022|Zomato_Settlement_Report_19530325_05 Dec 2022_11 Dec 2022.xlsx
zomato|12 Dec 2022 - 18 Dec 2022|2022-12-21|26|4212.220000000002|Sprinkles And Sparkles|S NO 75/1/1,,NEAR OCHANI WEAR HOUSE,TATHAWADE,PUNE,Pune,Maharashtra-411027, Pune, Maharashtra|2022|Zomato_Settlement_Report_19530325_12 Dec 2022_18 Dec 2022.xlsx
zomato|19 Dec 2022 - 25 Dec 2022|2022-12-28|35|7757.8600000000015|Sprinkles And Sparkles|S NO 75/1/1,,NEAR OCHANI WEAR HOUSE,TATHAWADE,PUNE,Pune,Maharashtra-411027, Pune, Maharashtra|2022|Zomato_Settlement_Report_19530325_19 Dec 2022_25 Dec 2022.xlsx
zomato|26 Dec 2022 - 31 Dec 2022|2023-01-03|47|9723.42|Sprinkles And Sparkles|S NO 75/1/1,,NEAR OCHANI WEAR HOUSE,TATHAWADE,PUNE,Pune,Maharashtra-411027, Pune, Maharashtra|2022|Zomato_Settlement_Report_19530325_26 Dec 2022_31 Dec 2022.xlsx
zomato|05 Dec 2022 - 11 Dec 2022|2022-12-14|195|66987.62000000001|Creative & Designer Cakes|S NO 75/1/1,,NEAR OCHANI WEAR HOUSE,TATHAWADE,PUNE,Pune,Maharashtra-411027, Pune, Maharashtra|2022|Zomato_Settlement_Report_19532586_05 Dec 2022_11 Dec 2022.xlsx
zomato|12 Dec 2022 - 18 Dec 2022|2022-12-21|130|44553.24999999997|Creative & Designer Cakes|S NO 75/1/1,,NEAR OCHANI WEAR HOUSE,TATHAWADE,PUNE,Pune,Maharashtra-411027, Pune, Maharashtra|2022|Zomato_Settlement_Report_19532586_12 Dec 2022_18 Dec 2022.xlsx
