Stock_Name,Trade_Type,Account,Date,Result_Value
NVEI,Limit Buy,RRSP,"January 23, 2024",Expired
NVEI,Limit Buy,FHSA,"January 23, 2024",Expired
NVEI,Limit Sell,RRSP,"January 23, 2024","$16,269.00"
NVEI,Limit Sell,FHSA,"January 23, 2024","$9,603.00"
SU,Limit Buy,TFSA,"January 22, 2024","$3,150.00"
SU,Limit Buy,TFSA,"January 19, 2024",Expired
MG,Limit Buy,TFSA,"January 17, 2024",Expired
NVEI,Limit Buy,FHSA,"January 17, 2024","$8,584.50"
NVEI,Limit Buy,RRSP,"January 17, 2024","$14,543.50"
NVEI,Limit Buy,FHSA,"January 16, 2024",Expired
NVEI,Limit Buy,TFSA,"January 16, 2024",Expired
NVEI,Limit Buy,RRSP,"January 16, 2024",Expired
Funds transferred in,,RRSP,"Jan 15, 2024","$1,941.68"
Funds transferred out,,TFSA,"Jan 15, 2024","-$1,941.68"
MG,Limit Buy,FHSA,"January 15, 2024",Expired
MG,Limit Buy,RRSP,"January 15, 2024",Expired
PZA,Dividend,TFSA,"Jan 15, 2024",$11.63
CEU,Dividend,TFSA,"Jan 15, 2024",$27.50
NVEI,Limit Sell,RRSP,"January 12, 2024","$12,606.00"
MG,Limit Buy,FHSA,"January 11, 2024",Expired
NVEI,Limit Buy,RRSP,"January 11, 2024","$12,415.00"
MG,Limit Buy,RRSP,"January 8, 2024",Cancelled
CVE,Limit Buy,TFSA,"January 5, 2024","$1,010.50"
SU,Limit Buy,TFSA,"January 5, 2024",Cancelled
Deposit,,TFSA,"Jan 5, 2024","$8,941.68"
NVEI,Limit Buy,RRSP,"January 5, 2024",Expired
CNQ,Dividend,TFSA,"Jan 5, 2024",$40.00
CNQ,Limit Sell,RRSP,"January 2, 2024","$12,379.80"
CNQ,Limit Sell,FHSA,"January 2, 2024","$8,599.50"
CNQ,Limit Sell,RRSP,"January 2, 2024",Cancelled
CNQ,Limit Sell,FHSA,"January 2, 2024",Cancelled
CNQ,Limit Sell,RRSP,"January 2, 2024",Cancelled
CNQ,Limit Sell,FHSA,"January 2, 2024",Cancelled
T,Dividend,TFSA,"Jan 2, 2024",$87.26
CVE,Dividend,TFSA,"Dec 29, 2023",$14.42
PPL,Dividend,TFSA,"Dec 29, 2023",$33.38
CVE,Dividend,RRSP,"Dec 29, 2023",$2.94
CNQ,Limit Buy,FHSA,"December 28, 2023","$8,575.00"
CNQ,Limit Buy,RRSP,"December 28, 2023","$12,337.50"
CNQ,Limit Buy,RRSP,"December 27, 2023",Cancelled
CNQ,Limit Buy,FHSA,"December 27, 2023",Cancelled
CNQ,Limit Sell,RRSP,"December 22, 2023","$12,383.80"
CNQ,Limit Sell,FHSA,"December 22, 2023","$8,573.40"
CNQ,Limit Sell,FHSA,"December 21, 2023",Cancelled
CNQ,Limit Sell,RRSP,"December 21, 2023",Cancelled
CNQ,Limit Buy,FHSA,"December 20, 2023","$8,563.50"
CNQ,Limit Buy,RRSP,"December 20, 2023","$12,369.50"
CNQ,Limit Buy,RRSP,"December 20, 2023",Cancelled
CNQ,Limit Buy,RRSP,"December 19, 2023",Cancelled
CNQ,Limit Buy,FHSA,"December 19, 2023",Cancelled
CNQ,Limit Sell,RRSP,"December 18, 2023","$12,312.00"
CNQ,Limit Sell,FHSA,"December 18, 2023","$8,550.00"
CNQ,Limit Buy,RRSP,"December 15, 2023","$12,024.00"
CNQ,Limit Buy,RRSP,"December 15, 2023",Cancelled
CNQ,Limit Buy,FHSA,"December 15, 2023","$8,350.00"
PZA,Dividend,TFSA,"Dec 15, 2023",$11.63
CNQ,Limit Sell,FHSA,"December 13, 2023","$8,316.00"
CNQ,Limit Sell,RRSP,"December 13, 2023","$12,012.00"
CNQ,Limit Sell,FHSA,"December 12, 2023",Cancelled
CNQ,Limit Sell,RRSP,"December 12, 2023",Cancelled
